"","hemerobia_250m","AlturaFusteLimpio_desvest_250m","AlturaFusteLimpio_media_250m","AlturaTotal_desvest_250m","AlturaTotal_media_250m","DiametroCopa_desvest_250m","DiametroCopa_media_250m","DiametroNormal_desvest_250m","DiametroNormal_media_250m","net_photo_mean","net_photo_mean_lluvias","net_photo_mean_secas","net_photo_sd","presenciaArbolesMuertos_250m","presenciaInsectos_250m","propor_bosque","propor_pastizaloagricultura","propor_selva","propor_suelodesnudo","propor_urbano","srtm90m_mean250m","srtm90m_range250m","zvh_31_lcc_h"
"hemerobia_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AlturaFusteLimpio_desvest_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AlturaFusteLimpio_media_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AlturaTotal_desvest_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AlturaTotal_media_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiametroCopa_desvest_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiametroCopa_media_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiametroNormal_desvest_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiametroNormal_media_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"net_photo_mean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"net_photo_mean_lluvias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"net_photo_mean_secas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"net_photo_sd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"presenciaArbolesMuertos_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"presenciaInsectos_250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"propor_bosque",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"propor_pastizaloagricultura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"propor_selva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"propor_suelodesnudo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"propor_urbano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"srtm90m_mean250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"srtm90m_range250m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zvh_31_lcc_h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
